Direction,District,Elevator,Floor,Id,Layout,Price,Region,Renovation,Size,Year
,华阳,无,低楼层 (共6层),106101245096,3室2厅,165,西,其他,104㎡,2003年建
,玉林,暂无数据,低楼层 (共6层),106101239746,3室1厅,98,南,其他,69.82㎡,2000年建
,五块石,有,高楼层 (共22层),106101247254,2室1厅,92,东南,简装,62.84㎡,2007年建
,西南交大,无,高楼层 (共7层),106101238986,3室1厅,98,东南 西,其他,84.94㎡,1998年建
,万年场,有,中楼层 (共24层),106101238636,2室2厅,131,东南,简装,72.03㎡,2010年建
,新双楠,有,中楼层 (共16层),106101235859,3室2厅,200,南,毛坯,88.52㎡,2016年建
,静居寺,有,中楼层 (共12层),106101230522,1室1厅,85,东,其他,48.17㎡,2006年建
,外双楠,无,中楼层 (共5层),106101227619,3室2厅,195,东,其他,117.13㎡,2004年建
,双楠,有,高楼层 (共17层),106101225043,2室2厅,185,东 西,精装,102.62㎡,2003年建
,府南新区,暂无数据,高楼层 (共7层),106101223046,3室1厅,85,南,其他,71.32㎡,未知年建
,大面,无,高楼层 (共6层),106101222669,4室2厅,318,南,其他,171.8㎡,2013年建
,温江老城,有,中楼层 (共32层),106101213568,4室2厅,256,西南,其他,142.27㎡,2016年建
,金融城,有,高楼层 (共18层),106101349837,3室1厅,585,南 北,其他,157.9㎡,2013年建
,万象城,有,高楼层 (共18层),106101343711,2室1厅,156,西,其他,82.03㎡,2008年建
,光华大道沿线,有,中楼层 (共25层),106101340188,4室1厅,298,东南,毛坯,168.71㎡,2009年建
,温江老城,无,低楼层 (共6层),106101340739,2室2厅,78,东南,其他,76.5㎡,2007年建
,保利公园,有,低楼层 (共33层),106101349176,3室2厅,98,西南,其他,78.5㎡,2014年建
,大丰,有,高楼层 (共27层),106101338883,3室2厅,115,东南,其他,90.9㎡,2012年建
,八宝街,有,中楼层 (共13层),106101338663,2室1厅,125,南,精装,75.64㎡,2005年建
,金沙,有,中楼层 (共23层),106101336749,2室2厅,215,南,精装,86.01㎡,2009年建
,万家湾,有,高楼层 (共18层),106101336359,2室1厅,118,南,其他,72.4㎡,2012年建
,大丰,无,低楼层 (共6层),106101330605,3室2厅,135,南,其他,119.99㎡,2012年建
,万象城,有,低楼层 (共33层),106101326998,4室1厅,330,西南,精装,128.35㎡,2012年建
,双流城区,有,中楼层 (共16层),106101327000,2室2厅,122,东南,其他,86.09㎡,2014年建
,温江新城,有,低楼层 (共33层),106101327330,3室2厅,210,西南,其他,117.83㎡,2010年建
,川音,有,中楼层 (共29层),106101327552,3室1厅,310,东,其他,140.04㎡,2002年建
