Direction,District,Elevator,Floor,Id,Layout,Price,Region,Renovation,Size,Year 
,东山,有,中楼层 (共18层),106101153208,4室2厅,205,南,其他,166.7㎡,2009年建
,航空港,有,中楼层 (共18层),106101150538,3室2厅,148,东南,毛坯,126.64㎡,2011年建
,温江大学城,暂无数据,中楼层 (共17层),106101150208,3室2厅,116,西南 南,毛坯,116.45㎡,2015年建
,驷马桥,有,高楼层 (共18层),106101149487,2室2厅,168,东,精装,90.56㎡,2013年建
,驷马桥,有,中楼层 (共21层),106101150414,2室1厅,132,东,简装,71.17㎡,2016年建
,红牌楼,有,高楼层 (共13层),106101140287,2室1厅,150,南,其他,81.24㎡,2009年建
,红星路,有,中楼层 (共18层),106101144123,2室2厅,195,西南,其他,79.14㎡,2007年建
,外光华,有,中楼层 (共10层),106101139816,3室2厅,325,东 西,其他,133㎡,2013年建
,神仙树,无,低楼层 (共7层),106101146141,4室2厅,205,南 北,简装,155.69㎡,2000年建
,海洋公园,有,高楼层 (共32层),106101136771,2室1厅,108,西,其他,72.56㎡,2012年建
,华府,暂无数据,低楼层 (共33层),106100710762,3室2厅,127,南,其他,89.72㎡,2018年建
,金融城,有,高楼层 (共16层),106100509077,4室2厅,630,南,精装,183㎡,2008年建
,东郊记忆,有,低楼层 (共33层),106100168882,2室2厅,130,南,其他,89㎡,2009年建
,大面,有,低楼层 (共34层),106101531018,3室2厅,180,东,其他,116.8㎡,2015年建
,航空港,有,中楼层 (共16层),106101540805,3室2厅,130,西,其他,100.18㎡,未知年建
,通惠门,有,高楼层 (共12层),106101597353,4室2厅,360,西,精装,150.08㎡,2003年建
,万象城,有,高楼层 (共32层),106100706144,5室1厅,410,东南 西北,简装,116.53㎡,2010年建
,大源,有,低楼层 (共29层),106101477102,1室0厅,58,北,其他,41.98㎡,2012年建
,大丰,有,中楼层 (共24层),106101476183,4室2厅,175,南,其他,130.31㎡,2012年建
,新双楠,有,高楼层 (共18层),106101473831,4室2厅,228,东南,其他,106.56㎡,2013年建
,双流城区,有,高楼层 (共16层),106101466269,2室1厅,73,东,其他,62.2㎡,2012年建
,蛟龙港,,低楼层 (共3层),106101463573,5室2厅,360,南,70年,259.6㎡,未知年建
,橡树湾,有,中楼层 (共34层),106101451372,3室1厅,105,西北,其他,54.02㎡,2013年建
,簇桥,有,低楼层 (共12层),106101451124,3室1厅,227,南,毛坯,108.56㎡,2012年建
,大丰,有,低楼层 (共14层),106101451305,2室2厅,86,北,简装,68.46㎡,2014年建
,海洋公园,有,中楼层 (共35层),106101432818,2室1厅,110,北,其他,59㎡,2015年建
,新会展,有,高楼层 (共31层),106101431795,1室0厅,79.8,北,其他,53.67㎡,2007年建
,金沙,无,中楼层 (共6层),106101411122,2室2厅,139,南 北,其他,82.99㎡,2000年建
,东升镇,无,低楼层 (共6层),106101430929,3室2厅,125,南,其他,126.51㎡,2005年建
,龙泉驿城区,有,中楼层 (共34层),106101431160,4室1厅,175,北,其他,118.58㎡,2012年建
,新会展,有,高楼层 (共18层),106101386051,3室1厅,378,南,其他,171.75㎡,2008年建
,大源,有,中楼层 (共24层),106101387904,2室2厅,190,北,其他,82.1㎡,2008年建
,李家沱,有,低楼层 (共34层),106101397857,3室2厅,325,南,其他,136㎡,2010年建
,洪河,有,低楼层 (共11层),106101384817,4室2厅,205,东南,精装,145.6㎡,2009年建
,大面,有,中楼层 (共33层),106101380287,5室2厅,235,东南,毛坯,122.73㎡,2013年建
,棕北,有,低楼层 (共27层),106101371525,3室1厅,230,南,其他,98.04㎡,2005年建
,衣冠庙,无,中楼层 (共8层),106101377730,2室2厅,120,西南,简装,93.57㎡,2004年建
,川大,有,高楼层 (共31层),106101375610,2室1厅,243,东北,其他,90.83㎡,2006年建
,温江老城,有,低楼层 (共32层),106101353432,4室2厅,186,西,其他,140.18㎡,2016年建
,红光,有,高楼层 (共31层),106101362638,3室2厅,115,南,其他,109.24㎡,2013年建
,双楠,无,中楼层 (共7层),106101351999,3室1厅,105,南,其他,75.93㎡,1999年建
,西南交大,无,高楼层 (共7层),106101345554,4室3厅,190,东南,简装,158.81㎡,2000年建
,新都城区,有,低楼层 (共11层),106101344852,3室2厅,122,东 东南,其他,110.54㎡,2014年建
,桐梓林,有,高楼层 (共21层),106101333133,2室2厅,245,南,其他,87.5㎡,2009年建
,新双楠,有,高楼层 (共13层),106101342450,3室2厅,215,南,简装,123.87㎡,2006年建
,航天,有,高楼层 (共18层),106101341174,2室2厅,105,东南,简装,87.81㎡,2015年建
,丽都,有,高楼层 (共15层),106101330222,2室2厅,145,东南,其他,73.98㎡,2008年建
,新双楠,有,低楼层 (共11层),106101314575,2室1厅,140,北,毛坯,68.32㎡,2012年建
,卓锦城,有,低楼层 (共24层),106101309909,2室1厅,153,东南,简装,96.91㎡,2008年建
,人民公园,无,高楼层 (共7层),106101330211,3室2厅,202,西南,其他,167㎡,未知年建
,新双楠,有,低楼层 (共11层),106101297982,2室2厅,135,东,其他,79.06㎡,2012年建
,卓锦城,有,低楼层 (共34层),106101299623,2室1厅,128,东南,其他,79㎡,2011年建
,珠江新城,有,中楼层 (共33层),106101285836,3室2厅,133,西南 东北,简装,86.42㎡,2012年建
,航天,有,低楼层 (共24层),106101281739,2室2厅,95,东南,精装,82.68㎡,2010年建
,五块石,有,高楼层 (共23层),106101274369,2室2厅,81,西,简装,59.3㎡,2009年建
,东升镇,暂无数据,高楼层 (共6层),106101266762,3室2厅,88,南,其他,99.97㎡,未知年建
,五块石,有,低楼层 (共18层),106101271914,2室2厅,106,西,其他,87.4㎡,2006年建
,五块石,有,高楼层 (共23层),106101267166,2室2厅,150,东,其他,80.18㎡,2013年建
,橡树湾,有,中楼层 (共34层),106101256595,2室1厅,109,东南 西北,其他,52㎡,2013年建
,茶店子,有,中楼层 (共34层),106101261814,2室2厅,173,东北,简装,88.85㎡,2009年建
,天府长城,有,高楼层 (共18层),106101249549,4室2厅,305,南,其他,146.51㎡,2008年建
,李家沱,有,中楼层 (共18层),106101257227,2室1厅,142,北,其他,88.73㎡,2008年建
,毗河,有,高楼层 (共24层),106101246145,3室2厅,238,西南,精装,152.5㎡,2013年建
,市一医院,有,高楼层 (共20层),106101245223,4室2厅,430,东南,毛坯,176.35㎡,2013年建
,沙湾,无,高楼层 (共7层),106101245269,2室1厅,120,西南,其他,97.49㎡,2002年建
,中海国际,有,中楼层 (共17层),106101244004,2室2厅,162,南,精装,89.79㎡,2007年建
,国色天乡,无,低楼层 (共6层),106101240929,2室2厅,60,东南,其他,87.8㎡,2008年建
,沙湾,有,高楼层 (共31层),106101241792,2室1厅,162,西南,其他,77.26㎡,2014年建
,东大路,有,中楼层 (共32层),106101131489,3室2厅,476,南,其他,125.63㎡,2016年建
,珠江新城,有,中楼层 (共33层),106101357189,4室2厅,180,东南 南,其他,113.5㎡,2012年建
,阳光城,暂无数据,低楼层 (共14层),106101240587,3室2厅,81,东南,精装,89.43㎡,未知年建
,金沙,有,中楼层 (共32层),106101237053,3室2厅,398,南,其他,141.9㎡,2008年建
,沙湾,有,低楼层 (共31层),106101233564,2室2厅,183,东北,其他,86.39㎡,2014年建
,外金沙,有,高楼层 (共17层),106101237926,4室2厅,235,东北,其他,128.79㎡,2009年建
,理工大,暂无数据,高楼层 (共5层),106101233416,2室1厅,56,南,其他,56㎡,未知年建
,新会展,有,高楼层 (共31层),106101233248,2室2厅,210,南,其他,119.8㎡,2007年建
,外光华,有,中楼层 (共20层),106101232459,4室1厅,243.8,东,其他,94.41㎡,2011年建
,郫县万达,无,高楼层 (共6层),106101230265,2室2厅,57,东南,其他,83.54㎡,未知年建
,卓锦城,有,低楼层 (共24层),106101232383,2室1厅,172,西南,其他,96.72㎡,2010年建
,光华大道沿线,有,中楼层 (共17层),106101227745,3室2厅,178,北,其他,114.8㎡,2009年建
,川音,有,低楼层 (共11层),106101224927,2室2厅,168,西北,其他,73.34㎡,2004年建
,优品道,有,中楼层 (共31层),106101224075,2室2厅,205,北,其他,77.82㎡,2013年建
,万家湾,有,高楼层 (共18层),106101214071,3室2厅,169,东,其他,108.62㎡,2010年建
,猛追湾,暂无数据,中楼层 (共6层),106101213999,2室1厅,70,东南 东北,其他,47.8㎡,未知年建
,沙湾,无,高楼层 (共7层),106101212858,3室2厅,158,东,其他,128㎡,1998年建
,大面,有,高楼层 (共32层),106101210448,3室2厅,170,东南,其他,117.71㎡,2011年建
,茶店子,无,中楼层 (共7层),106101210440,3室2厅,200,东,其他,131.58㎡,1999年建
,花都大道,有,高楼层 (共33层),106101208555,2室1厅,109,西南,其他,81.57㎡,2016年建
,抚琴小区,有,中楼层 (共26层),106101207719,2室1厅,144,东南,其他,78.37㎡,2009年建
,优品道,无,中楼层 (共6层),106101208354,3室2厅,278,西,其他,123.72㎡,2005年建
,通惠门,无,高楼层 (共7层),106101205600,2室1厅,70,南,简装,55.63㎡,2001年建
,外光华,有,高楼层 (共11层),106101205015,2室2厅,120,东 西,其他,86.21㎡,2009年建
,八里小区,无,高楼层 (共7层),106101205691,2室1厅,91,东南,简装,67.23㎡,1998年建
,九眼桥,有,高楼层 (共18层),106101200808,2室2厅,160,东南,其他,85.3㎡,2004年建
,武侯立交,有,中楼层 (共16层),106101198983,2室2厅,155,西南,其他,88.88㎡,2009年建
,大面,有,低楼层 (共34层),106101196237,2室1厅,103,北,其他,67㎡,2013年建
,东山,有,低楼层 (共11层),106101198416,3室2厅,128,南,简装,105.69㎡,2011年建
,温江老城,有,低楼层 (共18层),106101193526,3室2厅,135,西南,其他,113㎡,2011年建
,蓝谷地,有,中楼层 (共13层),106101187325,3室2厅,205,东南,其他,124㎡,2008年建
,光华大道沿线,有,中楼层 (共17层),106101047376,3室2厅,168,东南,其他,125.56㎡,2009年建
,芳草,无,中楼层 (共7层),106101187235,2室1厅,95,南,其他,76.7㎡,1998年建
,华阳,无,高楼层 (共6层),106101037712,3室2厅,155,西南,简装,132.36㎡,2001年建
,驷马桥,有,高楼层 (共20层),106101037190,4室2厅,290,东北,毛坯,138.75㎡,2014年建
,万年场,有,低楼层 (共18层),106101036697,3室2厅,200,南,精装,77.89㎡,2014年建
,光华大道沿线,有,中楼层 (共6层),106101035884,4室2厅,200,北,其他,131.15㎡,2011年建
,广都,有,低楼层 (共21层),106101019706,3室2厅,190,西南,其他,127.53㎡,2009年建
,万象城,有,高楼层 (共30层),106101027024,3室2厅,235,东,精装,89.21㎡,2012年建
,新都城区,有,中楼层 (共18层),106101025562,3室2厅,158,东南 西北,其他,116.32㎡,2010年建
,华阳,无,中楼层 (共6层),106101012668,3室2厅,160,东南,精装,132.36㎡,2001年建
,新都城区,有,中楼层 (共11层),106101011062,2室1厅,110,东南,简装,92.87㎡,2010年建
,成外,有,低楼层 (共18层),106100984905,3室2厅,135,东南,精装,119.68㎡,2008年建
,中和,有,低楼层 (共27层),106100984342,2室2厅,148,北,其他,69.43㎡,2012年建
,东山,有,低楼层 (共9层),106100978535,3室2厅,160,东南,毛坯,151㎡,2015年建
,海洋公园,有,中楼层 (共9层),106100962551,4室2厅,255,南 北,其他,167㎡,2013年建
,橡树湾,有,低楼层 (共34层),106100983243,3室2厅,115,西南,精装,53.75㎡,2013年建
,沙河堡,有,高楼层 (共34层),106100975102,3室2厅,190,东南 南,其他,93.15㎡,2011年建
,高新西,有,低楼层 (共33层),106100957076,4室2厅,120,西南,其他,86.91㎡,2012年建
,合江亭,无,高楼层 (共7层),106100955198,2室2厅,131,西,简装,92.15㎡,未知年建
,蜀汉路,无,低楼层 (共6层),106100954462,2室2厅,130,东,其他,88.54㎡,2003年建
,大丰,有,低楼层 (共11层),106100954227,3室2厅,110,西,其他,87.68㎡,2012年建
,市一医院,有,中楼层 (共5层),106100926493,4室2厅,428,南 北,毛坯,199.6㎡,2005年建
,金沙,无,高楼层 (共6层),106100937419,2室2厅,126,西北,其他,83.02㎡,2000年建
,城南宜家,有,低楼层 (共23层),106100918137,2室2厅,295,东 南,精装,86.11㎡,2015年建
,攀成钢,有,低楼层 (共33层),106100906283,2室2厅,209,东南,其他,91.5㎡,2009年建
,广都,有,高楼层 (共34层),106100934723,3室2厅,200,南,其他,117.5㎡,2017年建
,万象城,有,高楼层 (共32层),106100918492,3室1厅,207,东北,简装,74.75㎡,2010年建
,SM广场,有,低楼层 (共34层),106100895919,2室1厅,195,东 西,其他,78.97㎡,2012年建
,大面,有,低楼层 (共11层),106100867798,2室2厅,95,东,简装,94.67㎡,2015年建
,龙湾,有,低楼层 (共18层),106100894257,2室2厅,210,西,精装,90.84㎡,2009年建
,万年场,无,低楼层 (共6层),106101249534,2室2厅,95,北,简装,63.11㎡,2003年建
,郫县城区,有,低楼层 (共33层),106101239631,3室2厅,97,东南,其他,88.75㎡,2015年建
,南湖,有,低楼层 (共34层),106101222414,4室2厅,253,南,其他,177.5㎡,2010年建
,温江老城,有,高楼层 (共17层),106101198560,4室1厅,202,西南,其他,149.93㎡,2011年建
,航空港,有,高楼层 (共18层),106101232447,3室2厅,139,南 北,其他,116.27㎡,2008年建
,高升桥,有,高楼层 (共18层),106101195487,3室1厅,245,西北,其他,125.68㎡,2004年建
,丽都,有,高楼层 (共11层),106101174923,1室1厅,60,西南,其他,47.76㎡,未知年建
,金沙,有,中楼层 (共31层),106101189711,2室1厅,202,东南,简装,82.26㎡,2012年建
,龙湾,有,中楼层 (共18层),106101166549,3室1厅,202,南,简装,97.87㎡,2008年建
,温江大学城,有,中楼层 (共33层),106101153543,3室2厅,98,东南,其他,84.24㎡,2016年建
,大源,有,高楼层 (共30层),106101172371,4室1厅,340,西北,精装,125.42㎡,2014年建
,武侯立交,无,低楼层 (共6层),106101163892,3室2厅,98,东南,其他,88.7㎡,2003年建
,郫县城区,有,低楼层 (共31层),106101132891,3室2厅,96,东南,其他,87.16㎡,2014年建
,金融城,有,高楼层 (共31层),106101123177,4室2厅,511,东北,其他,178.15㎡,2014年建
,川师,有,高楼层 (共32层),106101115407,3室2厅,190,南,其他,89.11㎡,2015年建
,西南财大,有,高楼层 (共27层),106101102776,3室2厅,295,北,其他,127.9㎡,2013年建
,大源,有,高楼层 (共31层),106101052705,4室2厅,439,西,毛坯,140.88㎡,2012年建
,丽都,有,高楼层 (共18层),106101101089,2室1厅,149.8,西南 西北,其他,77.73㎡,2011年建
,海洋公园,有,低楼层 (共35层),106101029184,2室1厅,115,西北,其他,62.56㎡,2015年建
,海洋公园,有,低楼层 (共9层),106101067236,3室2厅,160,南,其他,118.02㎡,未知年建
,温江大学城,有,中楼层 (共18层),106101004663,3室2厅,92,东南,其他,89.51㎡,2013年建
,郫县城区,有,中楼层 (共26层),106100996933,3室2厅,105,南,其他,102㎡,2012年建
,东大路,有,低楼层 (共39层),106100988678,3室2厅,430,南,简装,152.17㎡,2015年建
,中德,有,低楼层 (共33层),106100961631,3室2厅,195,北,简装,128.97㎡,2013年建
,国色天乡,无,低楼层 (共23层),106100932204,3室2厅,99,东南,其他,85.39㎡,2015年建
,温江大学城,暂无数据,高楼层 (共25层),106100841316,2室1厅,81,东南,其他,71.94㎡,2016年建
,光华大道沿线,有,低楼层 (共7层),106100976651,5室2厅,198,南,其他,213.86㎡,2010年建
,光华泡小,有,中楼层 (共18层),106100774340,3室2厅,375,南 北,其他,143.37㎡,2007年建
,外光华,有,低楼层 (共8层),106100914536,4室2厅,360,南 北,毛坯,127㎡,未知年建
,万象城,有,中楼层 (共28层),106100867070,3室2厅,255,东南,精装,132.15㎡,2009年建
,外光华,有,中楼层 (共21层),106101186220,2室2厅,145,南,精装,88.8㎡,2014年建
,五大花园,无,高楼层 (共7层),106101129628,3室1厅,110,东南,简装,109.3㎡,2000年建
,国宾,有,低楼层 (共30层),106100757437,4室2厅,240,东,其他,143㎡,2013年建
,国宾,有,低楼层 (共32层),106101126519,3室2厅,170,东南 西南,其他,92.12㎡,2013年建
,合江亭,有,高楼层 (共34层),106101126430,3室1厅,240,东南,其他,94.02㎡,2009年建
,远大,有,高楼层 (共11层),106101122816,2室1厅,196,西南,其他,105.31㎡,2005年建
,卓锦城,有,高楼层 (共33层),106101122932,3室2厅,268,东北,其他,114㎡,2012年建
,光华大道沿线,有,低楼层 (共5层),106101122054,3室2厅,260,南,其他,171.56㎡,2009年建
,驷马桥,无,高楼层 (共7层),106101120708,3室2厅,110,南,其他,97.06㎡,1993年建
,茶店子,有,中楼层 (共27层),106101117016,2室2厅,152,西北,其他,85.97㎡,2009年建
,蓝谷地,有,低楼层 (共33层),106101111138,3室2厅,225,东南,其他,118.53㎡,2011年建
,新北,无,高楼层 (共6层),106101108203,4室2厅,198,西南,简装,148.68㎡,2005年建
,城南宜家,有,低楼层 (共23层),106101097672,3室1厅,380,南 北,其他,125.93㎡,2015年建
,武侯祠,有,高楼层 (共39层),106101107931,1室1厅,108,西北,毛坯,54.73㎡,2015年建
,红光,有,高楼层 (共28层),106101102475,3室2厅,85,东北,其他,85.84㎡,2008年建
,金融城,有,高楼层 (共23层),106101095341,4室2厅,776,南,其他,193.65㎡,2012年建
,合江亭,无,高楼层 (共7层),106101096330,3室2厅,168,东南,简装,99.16㎡,2000年建
,南湖,有,中楼层 (共34层),106101094073,4室2厅,285,南,其他,177.66㎡,2010年建
,天府长城,有,中楼层 (共18层),106101095114,2室2厅,145,东南,简装,81.42㎡,2006年建
,远大,有,高楼层 (共21层),106101091936,2室1厅,99,西南,其他,55.5㎡,2010年建
,玉林,有,中楼层 (共18层),106101080328,3室2厅,220,南 北,其他,117.56㎡,2005年建
,广都,有,中楼层 (共18层),106101078575,4室2厅,228,北,精装,115.81㎡,2009年建
,花都大道,无,高楼层 (共5层),106101091578,2室2厅,152,东,精装,102.36㎡,2008年建
,九里堤,无,中楼层 (共7层),106101085330,2室2厅,112,北,其他,71.74㎡,2000年建
,警院,有,高楼层 (共18层),106101072587,2室2厅,129,南,精装,83.42㎡,2010年建
,市一医院,有,高楼层 (共5层),106101071357,6室2厅,455,南 北,精装,259.98㎡,2005年建
,航天,有,高楼层 (共26层),106101067737,2室2厅,90,东南,精装,86.58㎡,2006年建
,东苑,有,中楼层 (共32层),106101061688,3室1厅,245,南,简装,101.26㎡,2009年建
,李家沱,有,高楼层 (共34层),106101047712,2室2厅,169,南,其他,68.19㎡,2010年建
,簇桥,有,中楼层 (共14层),106101060710,4室2厅,280,南,精装,140.65㎡,2012年建
,蜀汉路,无,高楼层 (共6层),106101058304,2室1厅,100,北 东北,其他,62.72㎡,2006年建
,外光华,有,中楼层 (共18层),106101060407,3室2厅,265,西南,其他,151.52㎡,2008年建
,龙潭寺,暂无数据,中楼层 (共25层),106101104116,2室1厅,106,北,其他,73.28㎡,未知年建
,理工大,暂无数据,高楼层 (共6层),106101141222,2室1厅,85,南,其他,60.33㎡,未知年建
,棕北,有,中楼层 (共18层),106101457430,4室2厅,359,东南 南,其他,200.29㎡,2004年建
,丽都,有,高楼层 (共17层),106101385482,5室2厅,305,东南,其他,137.1㎡,2007年建
,大源,有,中楼层 (共32层),106101281634,4室2厅,320,北,精装,88.34㎡,2008年建
,东升镇,暂无数据,中楼层 (共6层),106101257951,2室2厅,76,东南,其他,94.23㎡,未知年建
,万象城,无,高楼层 (共7层),106101587834,1室2厅,70,南,简装,54.61㎡,1998年建
,东郊记忆,有,低楼层 (共28层),106101349726,2室2厅,136,南,其他,88.84㎡,2009年建
,国色天乡,暂无数据,高楼层 (共30层),106101187132,3室2厅,167,东南,其他,118㎡,2014年建
,武侯立交,有,低楼层 (共17层),106101260456,3室2厅,272,西南,其他,112.79㎡,2013年建
,太升路,有,高楼层 (共23层),106101081276,3室1厅,328,北,其他,134.42㎡,2008年建
,国色天乡,有,中楼层 (共18层),106101081102,4室1厅,188,西北,毛坯,143㎡,2015年建
,华阳,有,中楼层 (共32层),106100613367,3室2厅,142,西,其他,89.51㎡,2016年建
,金融城,有,低楼层 (共29层),106100683152,4室2厅,710,南 北,其他,193㎡,2016年建
,南湖,有,低楼层 (共31层),106100986679,3室2厅,208,南 北,精装,109.58㎡,2013年建
,国色天乡,有,低楼层 (共18层),106101236384,3室2厅,88,西北,其他,89㎡,2012年建
,新都城区,有,高楼层 (共27层),106101109705,2室1厅,62,南 西,简装,50.57㎡,未知年建
,草市街,有,低楼层 (共14层),106101108445,1室1厅,92,北,其他,55.43㎡,2005年建
,蜀汉路,有,高楼层 (共27层),106101107457,2室2厅,155,西北,其他,79.89㎡,2008年建
,龙泉驿城区,无,高楼层 (共6层),106101105356,2室2厅,129,东,简装,78.79㎡,2013年建
,外双楠,有,中楼层 (共12层),106101100073,1室1厅,88.5,西南,其他,50.35㎡,2003年建
,八宝街,有,高楼层 (共15层),106101096991,1室1厅,115,西南,其他,57.83㎡,2003年建
,万年场,有,高楼层 (共27层),106101102364,1室1厅,99.5,东,精装,56.07㎡,2012年建
,太升路,有,中楼层 (共18层),106101096598,1室1厅,118,东 北,简装,79.11㎡,2004年建
,龙潭寺,暂无数据,中楼层 (共29层),106101094733,2室1厅,95.5,南,其他,71.1㎡,未知年建
,蓝谷地,有,低楼层 (共34层),106101095521,3室2厅,172,东南 西北,其他,86.37㎡,2010年建
,九眼桥,有,中楼层 (共32层),106101094427,1室1厅,98,东南,其他,47.81㎡,2009年建
,武侯立交,有,低楼层 (共16层),106101090572,3室2厅,162,西南,精装,93.14㎡,2011年建
,外金沙,有,高楼层 (共18层),106101087141,3室2厅,285,西北,其他,129.32㎡,2009年建
,九里堤,有,低楼层 (共19层),106101088854,2室1厅,130,东南,其他,74.74㎡,2008年建
,大面,无,中楼层 (共6层),106101087426,2室2厅,100,南,其他,87.37㎡,2006年建
,大源,有,中楼层 (共29层),106101081575,3室2厅,380,东,其他,101.63㎡,2012年建
,东升镇,有,低楼层 (共11层),106101078442,1室1厅,60,西南,其他,50.85㎡,2010年建
,莲花,无,高楼层 (共7层),106101076468,3室2厅,130,西南,其他,98.99㎡,2001年建
,外双楠,无,中楼层 (共7层),106101074587,2室1厅,115,东,其他,96.48㎡,1999年建
,市一医院,有,中楼层 (共18层),106101074748,2室2厅,185,南,其他,88.39㎡,2012年建
,新华公园,无,高楼层 (共6层),106101073933,3室1厅,102,南,简装,64.36㎡,1994年建
,海洋公园,有,低楼层 (共27层),106101073119,3室2厅,252,南,其他,145㎡,2011年建
,海洋公园,有,低楼层 (共27层),106101072731,3室2厅,252,南,其他,137.23㎡,2011年建
,东郊记忆,有,低楼层 (共33层),106101071342,2室2厅,138,东南,简装,90.21㎡,2009年建
,中海国际,有,低楼层 (共17层),106101070623,2室2厅,150,东南 南,其他,90.12㎡,2007年建
,珠江新城,有,中楼层 (共11层),106101069970,3室2厅,185,东北,其他,134.1㎡,2008年建
,金融城,暂无数据,高楼层 (共31层),106101069346,1室1厅,145,南,其他,57.24㎡,2014年建
,草堂,无,中楼层 (共5层),106101205791,1室1厅,85,南,其他,46.4㎡,2000年建
,卓锦城,有,低楼层 (共33层),106101067471,3室2厅,210,西南,其他,87.86㎡,2012年建
,蜀汉路,有,中楼层 (共12层),106101066851,1室2厅,80,东南,其他,50.89㎡,2006年建
,大面,暂无数据,低楼层 (共33层),106101069905,3室1厅,112,东南,简装,85㎡,未知年建
,温江大学城,有,高楼层 (共16层),106101192752,2室2厅,89,东南,精装,88.55㎡,2006年建
,城南宜家,有,中楼层 (共18层),106101194507,2室2厅,166,东,简装,86.88㎡,2010年建
,大丰,有,中楼层 (共27层),106101192620,2室1厅,97,东,其他,88.49㎡,2013年建
,九眼桥,无,中楼层 (共6层),106101176734,1室1厅,65,南,其他,41.54㎡,2000年建
,紫荆,无,低楼层 (共7层),106101181325,3室1厅,126,南,其他,78.9㎡,1998年建
,盐市口,暂无数据,中楼层 (共6层),106101171761,2室2厅,170,南,其他,66.85㎡,未知年建
,文星镇,有,中楼层 (共18层),106101166599,2室2厅,105,东,精装,80.98㎡,未知年建
,成外,有,中楼层 (共17层),106101164282,3室1厅,190,东,其他,129㎡,2009年建
,草堂,暂无数据,高楼层 (共6层),106101161504,3室1厅,100,南,其他,77.05㎡,1993年建
,红星路,有,高楼层 (共18层),106101153055,1室0厅,136,西,其他,45.45㎡,2005年建
,蛟龙港,有,高楼层 (共15层),106101145946,2室2厅,135,南,其他,82.03㎡,2014年建
,华阳,有,高楼层 (共25层),106101145396,3室2厅,182,北,其他,132.31㎡,2010年建
,东苑,有,中楼层 (共19层),106101141092,1室1厅,95,南,其他,75.65㎡,2007年建
,温江老城,有,高楼层 (共7层),106101142804,2室2厅,78,南 北,其他,93.3㎡,2000年建
,沙河堡,有,高楼层 (共35层),106101144892,2室2厅,172,东北,其他,65.73㎡,2012年建
,十陵,暂无数据,低楼层 (共6层),106101138192,3室2厅,106,东,简装,97㎡,未知年建
,九眼桥,有,低楼层 (共31层),106101130182,2室1厅,230,西南,精装,101.94㎡,2006年建
,航空港,有,高楼层 (共23层),106101130229,2室2厅,114,西北,精装,76.48㎡,2009年建
,大丰,暂无数据,低楼层 (共34层),106101129446,4室1厅,136,东,其他,123.25㎡,2015年建
,华阳,有,高楼层 (共32层),106101124723,3室1厅,165,东南,精装,89.19㎡,2010年建
,龙泉驿城区,有,中楼层 (共18层),106101124298,3室2厅,138,北,其他,104.77㎡,2012年建
,华西,有,高楼层 (共24层),106101124414,1室0厅,88,西南,其他,51.04㎡,2006年建
,一品天下,无,低楼层 (共7层),106101118894,2室1厅,120,东南,其他,89.97㎡,1998年建
,海洋公园,有,低楼层 (共29层),106101118416,2室2厅,195,西南 东北,其他,88.93㎡,2012年建
,九里堤,无,低楼层 (共7层),106101115509,2室1厅,98,西南,其他,81.74㎡,2002年建
,光华大道沿线,有,低楼层 (共34层),106101113131,2室2厅,125,西,其他,72.02㎡,2008年建
,金沙,有,低楼层 (共18层),106101112405,3室2厅,235,西南,其他,121.28㎡,2014年建
,马鞍路,无,高楼层 (共7层),106101112081,2室1厅,105,南,其他,68.75㎡,2000年建
,一品天下,有,高楼层 (共31层),106101110128,1室1厅,118,东北,其他,48.08㎡,2012年建
,大丰,暂无数据,中楼层 (共34层),106101288410,2室2厅,84,南,毛坯,75.6㎡,2015年建
,海洋公园,有,中楼层 (共34层),106101286944,3室1厅,150,东南,其他,92.11㎡,2009年建
,新都城区,有,低楼层 (共26层),106101286675,2室1厅,65,东,其他,69.93㎡,2009年建
,花都大道,有,高楼层 (共11层),106101285472,3室2厅,190,南,其他,139.28㎡,2007年建
,花都大道,有,中楼层 (共11层),106101285516,3室2厅,190,南,其他,139.28㎡,2007年建
,中和,有,高楼层 (共34层),106101284228,3室1厅,190,西南,其他,113.46㎡,2010年建
,东湖,有,低楼层 (共30层),106101284097,3室1厅,234,西,精装,88.51㎡,2009年建
,合江亭,有,中楼层 (共31层),106101283539,2室1厅,190,南,其他,79.13㎡,2008年建
,万年场,有,高楼层 (共27层),106101282038,3室2厅,330,东北,毛坯,120.35㎡,2016年建
,四河,有,高楼层 (共18层),106101281960,3室2厅,166,南,其他,91.83㎡,2009年建
,航空港,有,中楼层 (共11层),106101280818,3室2厅,205,南,精装,138.79㎡,2009年建
,府南新区,有,中楼层 (共15层),106101274666,2室2厅,168,东南,其他,84.41㎡,2009年建
,东升镇,暂无数据,中楼层 (共6层),106101274531,3室2厅,90,西南,其他,136.18㎡,1999年建
,金沙,有,中楼层 (共31层),106101273249,3室2厅,280,东北,简装,104.12㎡,2010年建
,中德,有,高楼层 (共33层),106101271218,3室2厅,238,东南,其他,87.95㎡,2013年建
,郫县城区,有,高楼层 (共26层),106101270565,3室2厅,138,东,精装,125.34㎡,2012年建
,成渝立交,有,中楼层 (共32层),106101269766,2室1厅,165,东南,其他,87.03㎡,2009年建
,大丰,有,低楼层 (共27层),106101268878,2室2厅,100,南,简装,73.46㎡,2012年建
